NUM_POSTE,t,Date,DOY,hour,air_temperature,PARi_import,soil_temperature,humidity,ambient_CO2,Wind,PARi
86139002,0,01/01/2021,1,1,-1.7,0,0.44,0.98,415,1,0
86139002,1,01/01/2021,1,2,-1.7,0,0.44,0.99,415,0,0
86139002,2,01/01/2021,1,3,-2.3,0,-0.04,0.99,415,1,0
86139002,3,01/01/2021,1,4,-2.1,0,0.12,0.99,415,1,0
86139002,4,01/01/2021,1,5,-2.2,0,0.04,0.99,415,1,0
86139002,5,01/01/2021,1,6,-3.4,0,-0.92,0.99,415,1,0
86139002,6,01/01/2021,1,7,-2.9,0,-0.52,0.99,415,1,0
86139002,7,01/01/2021,1,8,-2.8,0,-0.44,0.99,415,1,0
86139002,8,01/01/2021,1,9,-1.6,6,0.52,0.99,415,2,76
86139002,9,01/01/2021,1,10,0.2,22,1.96,0.99,415,2,279
86139002,10,01/01/2021,1,11,2.1,40,3.48,0.97,415,2,507
86139002,11,01/01/2021,1,12,4,50,5,0.87,415,4,634
86139002,12,01/01/2021,1,13,4.7,48,5.56,0.75,415,5,609
86139002,13,01/01/2021,1,14,4.9,40,5.72,0.74,415,6,507
86139002,14,01/01/2021,1,15,3.4,22,4.52,0.74,415,8,279
86139002,15,01/01/2021,1,16,2.5,6,3.8,0.78,415,6,76
86139002,16,01/01/2021,1,17,1.2,2,2.76,0.82,415,4,25
86139002,17,01/01/2021,1,18,0.7,0,2.36,0.89,415,3,0
86139002,18,01/01/2021,1,19,0.2,0,1.96,0.94,415,4,0
86139002,19,01/01/2021,1,20,0.1,0,1.88,0.97,415,6,0
86139002,20,01/01/2021,1,21,0.2,0,1.96,0.99,415,6,0
86139002,21,01/01/2021,1,22,0,0,1.8,0.99,415,6,0
86139002,22,01/01/2021,1,23,0,0,1.8,0.99,415,4,0
86139002,23,01/01/2021,1,24,-0.3,0,1.56,0.99,415,6,0
86139002,24,02/01/2021,2,1,-0.5,0,1.4,0.98,415,7,0
86139002,25,02/01/2021,2,2,-0.7,0,1.24,0.96,415,7,0
86139002,26,02/01/2021,2,3,-0.4,0,1.48,0.93,415,8,0
86139002,27,02/01/2021,2,4,-0.3,0,1.56,0.93,415,8,0
86139002,28,02/01/2021,2,5,-0.2,0,1.64,0.91,415,7,0
86139002,29,02/01/2021,2,6,-0.5,0,1.4,0.94,415,4,0
86139002,30,02/01/2021,2,7,-0.8,0,1.16,0.94,415,5,0
86139002,31,02/01/2021,2,8,-1.3,0,0.76,0.98,415,4,0
86139002,32,02/01/2021,2,9,-1.5,4,0.6,0.99,415,5,50
86139002,33,02/01/2021,2,10,-1.5,10,0.6,0.99,415,5,126
86139002,34,02/01/2021,2,11,-0.8,22,1.16,0.99,415,6,279
86139002,35,02/01/2021,2,12,0.6,36,2.28,0.93,415,6,457
86139002,36,02/01/2021,2,13,1.7,48,3.16,0.85,415,6,609
86139002,37,02/01/2021,2,14,2.3,40,3.64,0.77,415,5,507
86139002,38,02/01/2021,2,15,2.7,28,3.96,0.76,415,4,355
86139002,39,02/01/2021,2,16,1.6,10,3.08,0.79,415,3,126
86139002,40,02/01/2021,2,17,-0.1,2,1.72,0.9,415,1,25
86139002,41,02/01/2021,2,18,0.5,0,2.2,0.89,415,1,0
86139002,42,02/01/2021,2,19,0,0,1.8,0.92,415,1,0
86139002,43,02/01/2021,2,20,-0.2,0,1.64,0.94,415,1,0
86139002,44,02/01/2021,2,21,0.7,0,2.36,0.92,415,2,0
86139002,45,02/01/2021,2,22,1,0,2.6,0.91,415,2,0
86139002,46,02/01/2021,2,23,1.2,0,2.76,0.92,415,4,0
