t,plant,axis,organ,Uptake_Nitrates
0,1,MS,roots,NA
1,1,MS,roots,NA
2,1,MS,roots,NA
3,1,MS,roots,NA
4,1,MS,roots,NA
5,1,MS,roots,NA
6,1,MS,roots,NA
7,1,MS,roots,NA
8,1,MS,roots,NA
9,1,MS,roots,NA
10,1,MS,roots,NA
11,1,MS,roots,NA
12,1,MS,roots,NA
13,1,MS,roots,NA
14,1,MS,roots,NA
15,1,MS,roots,NA
16,1,MS,roots,NA
17,1,MS,roots,NA
18,1,MS,roots,NA
19,1,MS,roots,NA
20,1,MS,roots,NA
21,1,MS,roots,NA
22,1,MS,roots,NA
23,1,MS,roots,NA
24,1,MS,roots,NA
25,1,MS,roots,NA
26,1,MS,roots,NA
27,1,MS,roots,NA
28,1,MS,roots,NA
29,1,MS,roots,NA
30,1,MS,roots,NA
31,1,MS,roots,NA
32,1,MS,roots,NA
33,1,MS,roots,NA
34,1,MS,roots,NA
35,1,MS,roots,NA
36,1,MS,roots,NA
37,1,MS,roots,NA
38,1,MS,roots,NA
39,1,MS,roots,NA
40,1,MS,roots,NA
41,1,MS,roots,NA
42,1,MS,roots,NA
43,1,MS,roots,NA
44,1,MS,roots,NA
45,1,MS,roots,NA
46,1,MS,roots,NA
47,1,MS,roots,NA
48,1,MS,roots,NA
49,1,MS,roots,NA
50,1,MS,roots,NA
51,1,MS,roots,NA
52,1,MS,roots,NA
53,1,MS,roots,NA
54,1,MS,roots,NA
55,1,MS,roots,NA
56,1,MS,roots,NA
57,1,MS,roots,NA
58,1,MS,roots,NA
59,1,MS,roots,NA
60,1,MS,roots,NA
61,1,MS,roots,NA
62,1,MS,roots,NA
63,1,MS,roots,NA
64,1,MS,roots,NA
65,1,MS,roots,NA
66,1,MS,roots,NA
67,1,MS,roots,NA
68,1,MS,roots,NA
69,1,MS,roots,NA
70,1,MS,roots,NA
71,1,MS,roots,0.00129724
72,1,MS,roots,0.00127769
73,1,MS,roots,-0.00010005
74,1,MS,roots,-0.00003844
75,1,MS,roots,0.00001221
76,1,MS,roots,0.00005453
77,1,MS,roots,0.00009079
78,1,MS,roots,0.00012172
79,1,MS,roots,0.00014959
80,1,MS,roots,0.00017538
81,1,MS,roots,0.00019973
82,1,MS,roots,0.00022436
83,1,MS,roots,0.00024588
84,1,MS,roots,0.00026224
85,1,MS,roots,0.00027486
86,1,MS,roots,0.00028671
87,1,MS,roots,0.00029774
88,1,MS,roots,0.0003089
89,1,MS,roots,0.00032122
90,1,MS,roots,0.00033337
91,1,MS,roots,0.00034485
92,1,MS,roots,0.00035525
93,1,MS,roots,0.00036515
94,1,MS,roots,0.00037368
95,1,MS,roots,0.00038048
96,1,MS,roots,0.00038822
97,1,MS,roots,0.00039621
98,1,MS,roots,0.00040268
99,1,MS,roots,0.00041058
100,1,MS,roots,0.00041855
101,1,MS,roots,0.00043075
102,1,MS,roots,0.00044239
103,1,MS,roots,0.00045392
104,1,MS,roots,0.00046409
105,1,MS,roots,0.00047719
106,1,MS,roots,0.00049242
107,1,MS,roots,0.00050846
108,1,MS,roots,0.00052644
109,1,MS,roots,0.00054649
110,1,MS,roots,0.00056762
111,1,MS,roots,0.00059179
112,1,MS,roots,0.00061941
113,1,MS,roots,0.00064842
114,1,MS,roots,0.00067856
115,1,MS,roots,0.0007073
116,1,MS,roots,0.000733
117,1,MS,roots,0.00075695
118,1,MS,roots,0.00078043
119,1,MS,roots,0.00080179
120,1,MS,roots,0.00082219
121,1,MS,roots,0.00084352
122,1,MS,roots,0.00086458
123,1,MS,roots,0.00088732
124,1,MS,roots,0.00091267
125,1,MS,roots,0.00093941
126,1,MS,roots,0.00096721
127,1,MS,roots,0.00099029
128,1,MS,roots,0.00101734
129,1,MS,roots,0.00105201
130,1,MS,roots,0.00108618
131,1,MS,roots,0.00112436
132,1,MS,roots,0.001167
133,1,MS,roots,0.00121409
134,1,MS,roots,0.00126541
135,1,MS,roots,0.00132149
136,1,MS,roots,0.00138592
137,1,MS,roots,0.00145456
138,1,MS,roots,0.00152879
139,1,MS,roots,0.00160266
140,1,MS,roots,0.00167376
141,1,MS,roots,0.00174454
142,1,MS,roots,0.00180997
143,1,MS,roots,0.00187718
144,1,MS,roots,0.00194523
145,1,MS,roots,0.002005
146,1,MS,roots,0.00206734
147,1,MS,roots,0.00213196
148,1,MS,roots,0.00220712
149,1,MS,roots,0.00228139
150,1,MS,roots,0.00236479
151,1,MS,roots,0.00245399
152,1,MS,roots,0.00252685
153,1,MS,roots,0.00263186
154,1,MS,roots,0.0027014
155,1,MS,roots,0.00282416
156,1,MS,roots,0.002899
157,1,MS,roots,0.00304986
158,1,MS,roots,0.00314573
159,1,MS,roots,0.00333401
160,1,MS,roots,0.00341926
161,1,MS,roots,0.00366476
162,1,MS,roots,0.00368344
163,1,MS,roots,0.0040524
164,1,MS,roots,0.00389357
165,1,MS,roots,0.00454447
166,1,MS,roots,0.00389715
167,1,MS,roots,0.00525845
168,1,MS,roots,0.00344096
169,1,MS,roots,0.00636065
170,1,MS,roots,0.00223089
171,1,MS,roots,0.00744452
172,1,MS,roots,0.00104142
173,1,MS,roots,0.00742355
174,1,MS,roots,0.00164443
175,1,MS,roots,0.0079891
176,1,MS,roots,0.00128962
177,1,MS,roots,0.00813053
178,1,MS,roots,0.00170868
179,1,MS,roots,0.00863615
180,1,MS,roots,0.00151715
181,1,MS,roots,0.00884265
182,1,MS,roots,0.00190114
183,1,MS,roots,0.00932425
184,1,MS,roots,0.00171232
185,1,MS,roots,0.00960706
186,1,MS,roots,0.00197037
187,1,MS,roots,0.01011417
188,1,MS,roots,0.00195548
189,1,MS,roots,0.01039256
190,1,MS,roots,0.00248328
191,1,MS,roots,0.01061982
192,1,MS,roots,0.002781
193,1,MS,roots,0.01058803
194,1,MS,roots,0.00327109
195,1,MS,roots,0.01058854
196,1,MS,roots,0.003648
197,1,MS,roots,0.01043561
198,1,MS,roots,0.00417785
199,1,MS,roots,0.01017726
200,1,MS,roots,0.00471188
201,1,MS,roots,0.00980498
202,1,MS,roots,0.00524851
203,1,MS,roots,0.00945609
204,1,MS,roots,0.00574735
205,1,MS,roots,0.00908689
206,1,MS,roots,0.00620565
207,1,MS,roots,0.00875227
208,1,MS,roots,0.00661612
209,1,MS,roots,0.00846634
210,1,MS,roots,0.00697332
211,1,MS,roots,0.00832711
212,1,MS,roots,0.00729429
213,1,MS,roots,0.00828294
214,1,MS,roots,0.00755186
215,1,MS,roots,0.00826341
216,1,MS,roots,0.00779739
217,1,MS,roots,0.00824092
218,1,MS,roots,0.00810328
219,1,MS,roots,0.00828393
220,1,MS,roots,0.00825862
221,1,MS,roots,0.00834571
222,1,MS,roots,0.008359
223,1,MS,roots,0.00841518
224,1,MS,roots,0.00845375
225,1,MS,roots,0.00850939
226,1,MS,roots,0.00857574
227,1,MS,roots,0.00866542
228,1,MS,roots,0.00877686
229,1,MS,roots,0.00890998
230,1,MS,roots,0.00924559
231,1,MS,roots,0.00910574
232,1,MS,roots,0.00933771
233,1,MS,roots,0.0093844
234,1,MS,roots,0.00963342
235,1,MS,roots,0.00985057
236,1,MS,roots,0.01010346
237,1,MS,roots,0.01023454
238,1,MS,roots,0.01047034
239,1,MS,roots,0.01064694
240,1,MS,roots,0.01072446
241,1,MS,roots,0.01076353
242,1,MS,roots,0.01110384
243,1,MS,roots,0.0110794
244,1,MS,roots,0.00925509
245,1,MS,roots,0.01051473
246,1,MS,roots,0.01011445
247,1,MS,roots,0.01039873
248,1,MS,roots,0.01028207
249,1,MS,roots,0.01031417
250,1,MS,roots,0.01028975
251,1,MS,roots,0.01029212
252,1,MS,roots,0.01029289
253,1,MS,roots,0.01031514
254,1,MS,roots,0.01035704
255,1,MS,roots,0.01037724
256,1,MS,roots,0.01040595
257,1,MS,roots,0.01054731
258,1,MS,roots,0.01071655
259,1,MS,roots,0.01082757
260,1,MS,roots,0.01099431
261,1,MS,roots,0.01113783
262,1,MS,roots,0.0112124
263,1,MS,roots,0.01128793
264,1,MS,roots,0.01129485
265,1,MS,roots,0.01122986
266,1,MS,roots,0.01104232
267,1,MS,roots,0.0107893
268,1,MS,roots,0.01065074
269,1,MS,roots,0.0105481
270,1,MS,roots,0.01047428
271,1,MS,roots,0.01042652
272,1,MS,roots,0.01040983
273,1,MS,roots,0.01041366
274,1,MS,roots,0.01045006
275,1,MS,roots,0.01052106
276,1,MS,roots,0.01061122
277,1,MS,roots,0.01073569
278,1,MS,roots,0.01089233
279,1,MS,roots,0.01109465
280,1,MS,roots,0.01131521
